vaccine,influenza_season,geographic_level,geographic_name,demographic_level,demographic_name,indicator_label,indicator_category_label,month_week,week_ending,nd_weekly_estimate,ci_half_width_90pct,ci_half_width_95pct,n_weighted,n_unweighted,suppression_flag,data_source
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2024-12-07T00:00:00.000,44.2757,1.8959,2.259,,12045,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2024-12-14T00:00:00.000,44.3654,1.9017,2.2659,,12288,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 3,2024-12-21T00:00:00.000,45.6612,1.8269,2.1768,,12401,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28T00:00:00.000,42.2254,2.5843,3.0791,,7625,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 1,2025-01-04T00:00:00.000,43.3316,2.1458,2.5567,,8080,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 2,2025-01-11T00:00:00.000,43.5526,1.8861,2.2472,,9768,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 3,2025-01-18T00:00:00.000,43.082,1.792,2.1352,,10569,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,2025-01-25T00:00:00.000,43.0454,2.0462,2.4381,,8893,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 1,2024-11-02T00:00:00.000,42.2366,1.9244,2.2929,,9556,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 2,2024-11-09T00:00:00.000,41.9709,1.9384,2.3096,,9439,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,2024-11-16T00:00:00.000,44.6362,1.7854,2.1273,,11488,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 4,2024-11-23T00:00:00.000,44.8496,1.7998,2.1445,,12005,0,NIS-ACM
